Variable,English,Spanish
title,MassAccess: File Court Forms Online,MassAccess: Declara Documentos Judiciales En Línea
desc,Most court buildings in Massachusetts are closed. This site offers you a way to reach the court during the COVID-19 crisis. It provides court forms and self-help materials for areas of urgent legal need.,La mayoría de los edificios judiciales en Massachusetts están cerrados. Este sitio le ofrece una manera de llegar a la corte durante la crisis de COVID-19. Proporciona formularios de la corte y materiales de autoayuda para áreas de necesidad legal urgente.
ma_icon,Massachusetts State icon,Icono del Estado de Massachusetts
language,Language,Idioma
languages,Languages,Idiomas
about_us,About Us,Quienes Somos
news,News,Noticias
my_forms,My Forms,Mis Formularios
homepage,home page,Página de Inicio
alert_test,<b>This page is not active.</b> This page is just for testing purposes. <b>DO NOT RELY ON THE CONTENT FOUND HERE!</b>,<b>Esta página no está activa ¡Las entrevistas enlazadas aquí no funcionan!</b> Esta página es solo para fines de prueba.
alert_1,"<div class=""alert_1"" role=""complementary""><b>We are working to build online interviews for existing court forms during the COVID-19 crisis.</b> As we finish new forms, they will be added here.
</div>","<div class=""alert_1"" role=""complementary""><b>Estamos trabajando para construir entrevistas en líneas para los formularios judiciales existentes durante la crisis de COVID-19.</b> A medida que terminemos los nuevos formularios, se agregan aquí.
</div>"
alert_2,"<div  class=""alert_2"" role=""complementary""><b>THIS CONTENT IS NOT AVAILABLE YET. We are in the process of adding content.</b> Please, consider calling the Court's Helpline.
</div>", 
message,"    <h1>File court forms online during the emergency</h1>
      <p>
        Most court buildings in Massachusetts are closed. This site offers a way for you to reach the court during the COVID-19 crisis. It provides court forms and self-help materials for areas of urgent legal need.  <b><i>Please select a category to get started.</i></b>
      </p>","    <h1>Presentar formularios de la corte en línea durante la emergencia</h1>
      <p>
        La mayoría de los edificios judiciales en Massachusetts están cerrados. Este sitio le ofrece una manera de llegar a la corte durante la crisis de COVID-19. Proporciona formularios de la corte y materiales de autoayuda para áreas de necesidad legal urgente.   <b><i>Seleccione una categoría para comenzar.</i></b>
      </p>"
housing_alt,Housing icon,Icono de Alojamiento
housing,Housing,Alojamiento
dv_alt,"Domestic Violence icon, grayed out",Icono de Violencia Domestica
dv,Domestic Violence,"Violencia Domestica
"
guardianship_alt,"Guardianship icon, grayed out",Icono de Guarda y Custodia
guardianship,Guardianship,"
Guarda y Custodia"
family_alt,"Family Law icon, grayed out",Icono de Leyes Familiar
family,Family Law,"Ley Familiar
"
employment_alt,"Employment / Unemployment icon, grayed out",Icono de Empleo/ Desempleo
employment,Employment / Unemployment,Empleo / Desempleo
consumer_alt,"Consumer and Debt icon, grayed out",Icono de Consumo y Deuda
consumer,Consumer &amp; Debt,Deuda
health_alt,"Health and Mental Health icon, grayed out",Icono de Salud y Salud Mental
health,Health and Mental Health,Salud y Salud Mental
income_alt,"Income and Benefits icon, grayed out",Icono de Ingreso y Beneficios
income,Income and Benefits,Ingreso y Beneficios
immigration_alt,"Immigration icon, grayed out",Icono de Inmigración
immigration,Immigration,Inmigración
education_alt,"Education icon, grayed out",Icono de Educación
education,Education,Educación
safety_alt,"Saftey of Others icon, grayed out",Icono de Seguridad de Otros
safety,Safety of Others,Seguridad de Otros
other_alt,"Other icon, grayed out",Icono Más
other,Other,Más
hide_cat,Hide Categories,Esconde Categorias
show_cat,Show Categories,Muestra Categorias
lit_logo,LIT lab logo,Logo del labratorio de LIT
suffolk_law,suffolk law logo,Logo de la Ley de Suffolk
docassemble_logo,docassemble logo,Logo de docassemble
a2j_logo,A2J logo,Logo de A2J
gbls_logo,GBLS logo,Logo de Los Servicios Legales de Boston
nela_logo,Northeastern Legal Aid logo,Logo de Asistencia Legal de Northeast
mlri_logo,MLRI logo,Logo de Instituto de Reforma Legal de Massachusetts
tp_logo,Theory and Principle logo,Logo de Teoría y Principio 
appgeo_logo,AppGeo logo,Logo de AppGeo
nulawlab_logo,NuLawLab logo,Logo de NuLawLab
bentley_logo,Bentley University Court UX Team,Logo de Bentley University Court UX Team
cl_logo,Community.Lawyer logo,Logo de Abogado Comunitario
documate_logo,Documate logo,Logo de Documate
tos,Privacy Policy &amp; Terms of Use,Política de Privacidad y Términos de Uso
contact,Contact Us,Contacte con Nosotros
how,How It Works,Como funciona
step_1_alt,finger tapping icon,Icono de Toque Repetido
step_1,"<h3>Step 1</h3>
            <p>
              Choose a category above and select the form you need to fill out.
            </p>","<h3>Fase 1</h3>
            <p>
              Seleccione una categoría arriba y seleccione el formulario que necesita llenar.
            </p>"
step_2_alt,envelope in motion icon, 
step_2,"<h3>Step 2</h3>
            <p>
              Fill out and submit your form online. It will be delivered to the court.
            </p>","<h3>Fase 2</h3>
            <p>
              Llene y envíe su formulario en línea. Será entregado a la corte.
            </p>"
step_3_alt,phone icon, 
step_3,"<h3>Step 3</h3>
            <p>
              The court will contact you about next steps. <b><a href=""%smyforms/%s"" class=""litelink"">Sign in</a></b> to view your forms.
            </p>","<h3>Fase 3</h3>
            <p>
              La corte se pondrá en contacto con usted para los próximos pasos. <b><a href=""%smyforms/%s"" class=""litelink"">Firme</a></b> para ver sus formularios. 
            </p>"
news_header,News,Noticias
